image_id,relative_path,foreground_density
20230926-0321-2868-70bc-c3e9ad379167_4c2d8757-4e35-4897-bd7e-b178c2b14ef2_5分,20230926-0321-2868-70bc-c3e9ad379167_4c2d8757-4e35-4897-bd7e-b178c2b14ef2_5分.jpg,0.0636820900687132
20230926-0321-2868-70bc-c3e9ad379167_8764c71b-54ef-40ef-a844-caa32d75fcf7_9分,20230926-0321-2868-70bc-c3e9ad379167_8764c71b-54ef-40ef-a844-caa32d75fcf7_9分.jpg,0.1247824904839586
20230926-0321-2868-70bc-c3e9ad379167_a0e55c5f-c8fa-4633-88b9-48d5793cba94_2分,20230926-0321-2868-70bc-c3e9ad379167_a0e55c5f-c8fa-4633-88b9-48d5793cba94_2分.jpg,0.017663997231697
20230928-0706-101d-2d23-2fcd1b957952_2c99e457-fa46-4cfd-ac32-a23c9ec6bfde_8分,20230928-0706-101d-2d23-2fcd1b957952_2c99e457-fa46-4cfd-ac32-a23c9ec6bfde_8分.jpg,0.1237912658853862
20230928-0706-101d-2d23-2fcd1b957952_39131571-da72-41a6-81a7-ce244f756311_2分,20230928-0706-101d-2d23-2fcd1b957952_39131571-da72-41a6-81a7-ce244f756311_2分.jpg,0.0310445040869966
20230928-0706-101d-2d23-2fcd1b957952_6144516d-4944-4287-b184-03f6e0bdab2d_8分,20230928-0706-101d-2d23-2fcd1b957952_6144516d-4944-4287-b184-03f6e0bdab2d_8分.jpg,0.0835925561649468
20230928-0706-101d-2d23-2fcd1b957952_ab1ef8dc-466d-4b52-b2d4-2047957aa5a1_8分,20230928-0706-101d-2d23-2fcd1b957952_ab1ef8dc-466d-4b52-b2d4-2047957aa5a1_8分.jpg,0.1303282377848534
20231002-0409-56f6-b409-d13d52524918_14592208-e6a9-4c50-80b4-3800393d3397_10分,20231002-0409-56f6-b409-d13d52524918_14592208-e6a9-4c50-80b4-3800393d3397_10分.jpg,0.0672274302017525
20231002-0409-56f6-b409-d13d52524918_42c2f627-92ac-4ccc-8306-524bf260bfa5_1分,20231002-0409-56f6-b409-d13d52524918_42c2f627-92ac-4ccc-8306-524bf260bfa5_1分.jpg,0.0298410434073772
20231002-0409-56f6-b409-d13d52524918_48d4b601-51c1-4efb-bd99-3b5379e97467_6分,20231002-0409-56f6-b409-d13d52524918_48d4b601-51c1-4efb-bd99-3b5379e97467_6分.jpg,0.0595363766048502
20231002-0409-56f6-b409-d13d52524918_585e5886-51f9-45ed-9aa0-51f0bdd4c1f0_9分,20231002-0409-56f6-b409-d13d52524918_585e5886-51f9-45ed-9aa0-51f0bdd4c1f0_9分.jpg,0.0691145302628897
20231002-0409-56f6-b409-d13d52524918_7774aa73-0953-402f-a9e7-973d461f2057_8分,20231002-0409-56f6-b409-d13d52524918_7774aa73-0953-402f-a9e7-973d461f2057_8分.jpg,0.0576085184430405
20231002-0409-56f6-b409-d13d52524918_7b83992d-d9d3-4e80-9c7a-38685add677f_10分,20231002-0409-56f6-b409-d13d52524918_7b83992d-d9d3-4e80-9c7a-38685add677f_10分.jpg,0.0878928061952313
20231002-0409-56f6-b409-d13d52524918_84f31227-a0eb-4296-90dc-cf6d5d078593_12分,20231002-0409-56f6-b409-d13d52524918_84f31227-a0eb-4296-90dc-cf6d5d078593_12分.jpg,0.0617383329936825
20231002-0409-56f6-b409-d13d52524918_8cf8d4de-9b64-4417-9dca-0fd4d4d336d2_8分,20231002-0409-56f6-b409-d13d52524918_8cf8d4de-9b64-4417-9dca-0fd4d4d336d2_8分.jpg,0.0712655390258814
20231005-0822-0843-e73c-78feab697903_0e8492fe-2f51-4c33-abfd-c8e0481993a2_8分,20231005-0822-0843-e73c-78feab697903_0e8492fe-2f51-4c33-abfd-c8e0481993a2_8分.jpg,0.0625932303881027
20231005-0822-0843-e73c-78feab697903_645289b7-c7e7-46d0-977d-aa2d7cf9930f_4分,20231005-0822-0843-e73c-78feab697903_645289b7-c7e7-46d0-977d-aa2d7cf9930f_4分.jpg,0.0293578951741118
20231005-0822-0843-e73c-78feab697903_8768ba30-f2cc-4f45-9cb0-e9fd529dcc6a_4分,20231005-0822-0843-e73c-78feab697903_8768ba30-f2cc-4f45-9cb0-e9fd529dcc6a_4分.jpg,0.0367700650677301
20231005-0822-0843-e73c-78feab697903_ab4bfd07-b59d-487e-918b-94b9f72dd4e1_12分,20231005-0822-0843-e73c-78feab697903_ab4bfd07-b59d-487e-918b-94b9f72dd4e1_12分.jpg,0.0457418967451029
20231011-0527-43a1-7adb-7d1efd377690_59960b6a-a187-4f3d-b9f8-a05171aec69d_12分,20231011-0527-43a1-7adb-7d1efd377690_59960b6a-a187-4f3d-b9f8-a05171aec69d_12分.jpg,0.0916757666599431
